,feature,target
45,"in the absence of intellectual property protections such as copyright and patents, various types of intangible assets would be under-produced This house would abolish intellectual property rights",0
46,video game violence leads to youth violence This house believes that the sale of violent video games to minors should be banned,1
47,Access to information is increasingly recognised as a prerequisite for transparency and accountability of governments This house believes that the leaking of military documents by Anat Kamm was justified,1
48,"while in centrally planned economies an individual or a select group of individuals must determine the distribution of resources, these planners will never have enough information to carry out this allocation reliably This house would unleash the free market",1
49,A large dam can endanger ecosystems by restricting the motion of marine animals This house would build hydroelectric dams,0
50,domestic labor is work This house believes that housewives should be paid for their work,1
51,Identification requirements may reduce rather than expand the electorate This house believes that democratic governments should require voters to present photo identification at the polling station,0
52,denying or minimising the Holocaust must be seen as one of the acutest forms of racial slandering This house believes that Holocaust denial should be a criminal offence,1
53,advertising often reinforces stereotypes This house believes that advertising is harmful,1
54,The purpose of classification is to protect information from being used to damage or endanger national security This house believes that the leaking of military documents by Anat Kamm was justified,0
55,Advertising often uses stereotype gender specific roles of men and women reinforcing existing clichés This house believes that advertising is harmful,1
56,"the parliamentary system subordinates the national interest, or common good, to private interests This house would promote democratization",0
57,Political refugees may be fleeing for their lives This house believes that the right to asylum should not be absolute,0
58,Any efforts to protect the world’s remaining natural habitat and biodiversity will compete directly with humans’ growing demand for natural resources This house believes that endangered species should be protected,0
59,humiliation of the values that are held in high esteem by people cannot be justified by the freedom of speech This house would criminalize blasphemy,1
60,the individual must have unlimited access to the ideas of his fellow men in “a free and open encounter This house believes that it is sometimes right for the government to restrict freedom of speech,0
61,"exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior This house believes that the sale of violent video games to minors should be banned",1
62,The blockade is a collective form of punishment on a civilian population This house believes that Israel should lift the blockade of Gaza,1
63,many children lead a relatively sedentary lifestyle This house would make physical education compulsory,1
64,"Gambling is now a diverse, vibrant and innovative industry This house would ban gambling",0
65,"Without a market in which allocations can be made in obedience to the law of supply and demand, it is difficult or impossible to funnel resources with respect to actual human preferences and goals This house would unleash the free market",1
66,"since the transition to new government in August 2011, Burma's human rights record has been improving This house would re-engage with Myanmar",1
67,virtually all developed countries today successfully promoted their national industries through protectionism This house would unleash the free market,0
68,only a free market can create healthy competition and therefore more business This house would unleash the free market,1
69,Even if the blockade is eased it remains illegal under international law This house believes that Israel should lift the blockade of Gaza,1
70,abstinence-only programs did not reduce the likelihood of pregnancy This house would only teach abstinence for sex education in schools,0
71,The TRC  is weighted in favour of the perpetrators of abuse This house supports the use of truth and reconciliation commissions,0
72,content-based restrictions on games are unconstitutional This house believes that the sale of violent video games to minors should be banned,0
73,T]he policy itself is probably only partially responsible for the reduction in the total fertility rate This house supports the one-child policy of the republic of China,0
74,the focus of China on population control helps provide a better health service for women This house supports the one-child policy of the republic of China,1
75,The monarch serves as a ceremonial figurehead symbol of national unity and state continuity This house would abolish the monarchy,0
76,the BCS routinely involves controversy about which two teams are the best in the nation This house would implement playoffs in collegiate level American football,1
77,unpaid domestic work is just as valuable as paid work This house believes that housewives should be paid for their work,1
78,Older people are seen as a group that acts as more of a cost than an asset to the company This house would institute a mandatory retirement age,1
79,only the existence of God as orthodoxly conceived could support the existence of moral order in the world This house believes atheism is the only way,0
80,Neurological link was found between playing violent video games and aggressive behaviour in children and teenagers This house believes that the sale of violent video games to minors should be banned,1
81,Monarchy strengthens popular liberty This house would abolish the monarchy,0
82,Condoms are widely recommended for the prevention of sexually transmitted diseases This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
83,it has been claimed to be morally objectionable to bring a potential person into existence This house would never have children,1
84,The number of sites that can be economically developed for hydroelectric production is limited This house would build hydroelectric dams,0
85,The extremely dangerous side-effects of performance-enhancing drugs are admitted This house would permit the use of performance enhancing drugs in professional sports,0
86,the community is enriched as difference accrues This house would embrace multiculturalism,1
87,A wind farm has one of the lowest environmental impacts of all energy sources This house believes that wind power should be a primary focus of future energy supply,1
88,"abstinence-only sex education programs ""reduce risky sexual behaviours This house would only teach abstinence for sex education in schools",1
89,Regulation of online gambling is a better alternative than the prohibition of internet gambling This house would ban gambling,0
90,P.E. actually increases test scores This house would make physical education compulsory,1
91,Israel's right to defend itself against attacks from Gaza is recognised This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
92,Religions teachings are outdated in comparison with modern Western morals This house believes atheism is the only way,1
93,a positive relationship exists between democratic governance and peace This house would promote democratization,1
94,The copyright system has made and continues to make a valuable even essential contribution to the creation and dissemination of works This house would abolish intellectual property rights,0
95,the pipeline could pollute air and water supplies This house would build the Keystone XL pipeline,0
96,Amateur boxers face a high risk of brain damage This house would ban boxing,1
97,"school should be made to fit the child, rather than the other way around This house would make physical education compulsory",0
98,Atheism has been criticized as a faith in itself This house believes atheism is the only way,0
99,efficiency is best achieved through a market economy This house would unleash the free market,1
100,Persons use condoms to protect against the spread of infections This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
101,The policy is considered as a great success in helping to implement China's current economic growth This house supports the one-child policy of the republic of China,1
102,Collective bargaining is intrinsically valuable as an experience in self-government This house would abolish all collective bargaining rights claimed by trades unions,0
103,Fairness dictates that the sons and daughters of the white middle and upper classes share the burden of war This house would reintroduce national service,1
104,Wind power has low ongoing costs This house believes that wind power should be a primary focus of future energy supply,1
105,sexual activity outside of the context of marriage is likely to have harmful psychological and physical effects This house would only teach abstinence for sex education in schools,1
106,Israel's response was excessive This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
107,protest involving the physical use of the flag should be seen as a form of protected expression under the First Amendment This house would prohibit burning the stars and stripes,0
108,allowing families the option of both public and private schools undermines the public education system This house would fund education using a voucher scheme,0
109,democracy cannot be imposed from outside This house would promote democratization,0
110,Open primary statute is unconstitutional This house believes that open primaries are the most effective method of selecting candidates for elections,0
111,"freedom of speech, in order to exist and function, necessarily extends to even the unpopular This house believes that it is sometimes right for the government to restrict freedom of speech",0
112,"The end-user of Open Source code has the ability to change and modify source to implement any extra ""features"" of security they may wish for a specific use This house believes governments should choose open source software in order to encourage its use",1
113,Constitutional monarchy is outdated This house would abolish the monarchy,1
114,all species have inherent value This house believes that endangered species should be protected,1
115,A high degree of relationship between violent games and youth violence has been indicated This house believes that the sale of violent video games to minors should be banned,1
116,"Affirmative action is intended to promote 
equal opportunity This house believes in the use of affirmative action",1
117,democracy is actually a decline of civilization This house would promote democratization,0
118,"Freed from political considerations related to re-election, lawmakers would be more free to vote on the merits This house would enforce term limits on the legislative branch of government",1
119,More biologically diverse communities appear to be more stable This house believes that endangered species should be protected,1
120,unions never raise productivity to compensate for higher wages This house would abolish all collective bargaining rights claimed by trades unions,1
121,nuclear weapons had become a source of extreme risk This house believes all nations have a right to nuclear weapons,0
122,"around 10,000 former athletes bear the physical and mental scars of years of drug abuse This house would permit the use of performance enhancing drugs in professional sports",0
123,religion is nothing more than a social construct that primitive humans evolved This house believes atheism is the only way,1
124,"wide availability results in increased scrutiny of the source code, making open source software more secure This house believes governments should choose open source software in order to encourage its use",1
125,"the purpose of the restrictions in import of goods into Gaza are to pressure Hamas, which does not recognise Israel and backs attacks on its citizens This house believes that Israel should lift the blockade of Gaza",0
126,Israel's blockade of Gaza is illegal This house believes that Israel should lift the blockade of Gaza,1
127,Critics consider the IDX procedure to be infanticide This house would ban partial birth abortions,1
128,Unfettered markets are the best means to economic growth This house would unleash the free market,1
129,a market economy prevents long-term surpluses This house would unleash the free market,1
130,the monarch cannot be prosecuted for criminal offences This house would abolish the monarchy,1
131,Citizens in a diverse democratic society should be able to maintain attachments to their cultural communities This house would embrace multiculturalism,1
132,"sexual behavior after puberty is a given, and it is therefore crucial to provide information about the risks and how they can be minimized This house would only teach abstinence for sex education in schools",0
133,Comprehensive curricula fail to teach moral behavior This house would only teach abstinence for sex education in schools,1
134,conscription would not provide adequate protection for the rights of conscientious objectors This house would reintroduce national service,0
135,A democratic system may provide better information for policy decisions This house would promote democratization,1
136,there is an inherent right to collective bargaining This house would abolish all collective bargaining rights claimed by trades unions,0
137,Disadvantages of hydroelectricity systems include: dislocation of people living where the reservoirs are planned This house would build hydroelectric dams,0
138,limitations on free speech balance rights to free speech and other rights This house believes that it is sometimes right for the government to restrict freedom of speech,1
139,educating children about sex can encourage them to engage in it This house would only teach abstinence for sex education in schools,1
140,Ads are a detriment to society because they tell consumers that accumulating more and more possessions will bring them closer to self-actualization This house believes that advertising is harmful,1
141,A positive correlation between the strengthening of the IP system and subsequent economic growth was found This house would abolish intellectual property rights,0
142,Corruption reduces the quality of government services and infrastructure This house believes that bribery is sometimes acceptable,0
143,"The right to freedom of thought and expression, sanctioned by the Declaration of the Rights of Man, cannot imply the right to offend the religious sentiment of believers This house would criminalize blasphemy",1
144,governments have a responsibility to meet individuals' reproductive needs This house supports the one-child policy of the republic of China,0
145,women have a right to control what happens in and to their own bodies This house would ban partial birth abortions,0
146,each individual's civil rights include the right to be free from government sponsored social discrimination This house believes in the use of affirmative action,0
147,the need for explaining life and death can be met by science and philosophy This house believes atheism is the only way,1
148,wind power does not pose a threat to people or the environment This house believes that wind power should be a primary focus of future energy supply,1
149,Gun ownership is seen as a civil right This house would limit the right to bear arms,0
150,nuclear weapon technology would soon reach the point where it could end human life on Earth This house believes all nations have a right to nuclear weapons,0
151,Exposure to ultra-thin models in advertisements and magazine pictures produces depression This house believes that advertising is harmful,1
152,addicted gamblers spend most of their energy following their addiction This house would ban gambling,1
153,"parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent This house believes that the sale of violent video games to minors should be banned",0
154,open-source software is inherently safer This house believes governments should choose open source software in order to encourage its use,1
155,"copyright is invalid because, unlike physical property, intellectual property is not scarce This house would abolish intellectual property rights",1
156,markets have inefficient outcomes This house would unleash the free market,0
157,The right of Israel to defend itself against rockets and terrorist attacks is acknowledged This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
158,There is a positive relationship between casinos and crime This house would ban gambling,1
159,gun ownership is a civil liberty This house would limit the right to bear arms,0
160,The open primary can be seen as good for voter participation This house believes that open primaries are the most effective method of selecting candidates for elections,1
161,oil and gas pipelines are an important asset of the economic development of almost any country This house would build the Keystone XL pipeline,1
162,multiculturalism works better in theory than in practice This house would embrace multiculturalism,0
163,It is unethical to conserve less developed societies This house would embrace multiculturalism,0
164,intervention is necessary to solve market-created externalities This house would unleash the free market,0
165,condoms are acceptable as a means of preventing AIDS This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
166,sex before marriage and at a young age has heavy physical and emotional costs This house would only teach abstinence for sex education in schools,1
167,parents are in favor of the year-round schedule This house would introduce year round schooling,1
168,adverse environmental and sociological impacts have been identified during and after many reservoir constructions This house would build hydroelectric dams,0
169,The policy is controversial both within and outside of China This house supports the one-child policy of the republic of China,0
170,human existence has ultimately been destructive to the Earth and many of its non-human organisms This house would never have children,1
171,free trade would increase the likelihood of a lasting peace This house would unleash the free market,1
172,the blockade is necessary to limit Palestinian rocket attacks from the Gaza Strip This house believes that Israel should lift the blockade of Gaza,0
173,Welfare breeds dependence on government aid This house would subsidize poor communities,0
174,exposure to graphic violence leads to desensitization to committing acts of violence in person This house believes that the sale of violent video games to minors should be banned,1
175,most children who play violent games do not have problems This house believes that the sale of violent video games to minors should be banned,0
176,constructive engagement with the Burmese junta has failed This house would re-engage with Myanmar,0
177,New lawmakers are more vulnerable to power wielded by lobbyists This house would enforce term limits on the legislative branch of government,0
178,citizens need to arm themselves to safeguard political liberties against threats by the government This house would limit the right to bear arms,0
179,Physical fitness can prevent or treat many chronic health conditions This house would make physical education compulsory,1
180,intellectual property laws can actually hinder innovation This house would abolish intellectual property rights,1
181,"The construction of new hydroelectric power plants means environmental impacts as large areas need to be flooded, altering the ecosystem This house would build hydroelectric dams",0
182,wind energy is one of the most cost efficient sources of renewable energy This house believes that wind power should be a primary focus of future energy supply,1
183,"promotion of condom use will lead to irresponsible, risky sexual behavior This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception",1
184,"Holocaust denial law restricts the freedom of expression, which is a basic human right This house believes that Holocaust denial should be a criminal offence",0
185,No evidence links video games to youth violence This house believes that the sale of violent video games to minors should be banned,0
186,The social costs of gambling to society are varied This house would ban gambling,1
187,individuals are making judgments about threats and information they are not qualified to make This house believes that the leaking of military documents by Anat Kamm was justified,0
188,"A majority bullying a minority is just as bad as a dictator, communist or otherwise, doing so This house would promote democratization",0
189,"God's existence ""can be known with certainty from the created world by the natural light of human reason This house believes atheism is the only way",0
190,Democracy is economically inefficient This house would promote democratization,0
191,Smoking is considered an immoral habit This house believes that states should not subsidize the growing of tobacco,1
192,A major advantage to open source code is the ability for a variety of different people to edit and fix problems and errors that have occurred This house believes governments should choose open source software in order to encourage its use,1
193,Flag burning is constitutionally-protected free speech This house would prohibit burning the stars and stripes,0
194,democracies are inefficient This house would promote democratization,0
195,government should always run a balanced budget This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,0
196,some forms of expression can be legitimately prohibited by law because they are very offensive This house believes that it is sometimes right for the government to restrict freedom of speech,1
197,"the more democratic a regime, the less its democide This house would promote democratization",1
198,the efficient exchange and use of resources can be maintained only through the price mechanism in free markets This house would unleash the free market,1
199,computer games cause violence This house believes that the sale of violent video games to minors should be banned,1
200,atheists are quick to believe in God in times of crisis This house believes atheism is the only way,0
201,"Legislation to impose restrictive photo ID requirements has the potential to block millions of eligible American voters, and thus suppress the right to vote This house believes that democratic governments should require voters to present photo identification at the polling station",0
202,free speech should be applied to everyone regardless of their viewpoints This house believes that Holocaust denial should be a criminal offence,0
203,A monarchy demands deference This house would abolish the monarchy,1
204,every wind turbine must be backed up by reliable power This house believes that wind power should be a primary focus of future energy supply,0
205,Truth commissions risk conflicting or undermining criminal prosecutions This house supports the use of truth and reconciliation commissions,0
206,the concept of democracy as a constant process is flawed and detrimental This house would promote democratization,0
207,voters may not be educated enough to exercise their democratic right This house would promote democratization,0
208,As debts build up people turn to other sources of money such as theft This house would ban gambling,1
209,The 'defamation of religions' concept is used to justify censorship This house would criminalize blasphemy,0
210,In severe cases boxing may cause strokes or paralysis This house would ban boxing,1
211,Media influences are too weak and distant to have much influence on aggressiveness This house believes that the sale of violent video games to minors should be banned,0
212,a bigger role of the government in the economy will make people feel less responsible for the society This house would unleash the free market,1
213,Affirmative action may increase racial tension This house believes in the use of affirmative action,0
214,Reservoirs can also contribute to greenhouse gas emissions This house would build hydroelectric dams,0
215,quality works can be created even in the absence of a copyright-enforced monopoly rent This house would abolish intellectual property rights,1
216,Israel's right to protect its citizens is recognised This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
217,The human fetus is a person and therefore has a right to life This house would ban partial birth abortions,1
218,Freedom of speech may be restricted by law to protect rights and respectability of others This house believes that it is sometimes right for the government to restrict freedom of speech,1
219,Physical exercise improves mental health This house would make physical education compulsory,1
220,Authority to exercise censorship over the press .. is absolutely necessary to the public safety This house believes that the leaking of military documents by Anat Kamm was justified,0
221,attempting to reduce the Earth's population is the only moral option This house would never have children,1
222,Advertising creates artificiality This house believes that advertising is harmful,1
223,"without redistribution, one generation's successful individuals would become the next generation's embedded caste This house would subsidize poor communities",1
224,Another disadvantage of hydroelectric dams is the need to relocate the people living where the reservoirs are planned This house would build hydroelectric dams,0
225,condom-promotion programs encourage promiscuity This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
226,Freedom of expression is at the core of democracy This house would criminalize blasphemy,0
227,the past must be addressed in order to reach the future This house supports the use of truth and reconciliation commissions,1
228,"Implementation of a playoff system would lead to other, more serious consequences This house would implement playoffs in collegiate level American football",0
229,The Israeli air strikes have demanded a disproportionate amount of civilian victims This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
230,"Aside from improving each member state's economies, the bloc also focuses on peace and stability in the region This house would disband ASEAN",0
231,using condoms during sex is morally contraceptive and thus a sin This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
232,Freedom of speech is a fundamental human right This house believes that it is sometimes right for the government to restrict freedom of speech,0
233,Affirmative action policies engender animosity toward preferred groups This house believes in the use of affirmative action,0
234,efforts to sanction Burma were useless This house would re-engage with Myanmar,1
235,Video games can be a safe outlet for aggression and frustration This house believes that the sale of violent video games to minors should be banned,0
236,Violent video games - especially first-person shooter games - encourages real-life acts of violence in teenagers This house believes that the sale of violent video games to minors should be banned,1
237,the theism of people throughout most of recorded history and in many different places provides prima facie demonstration of God's existence This house believes atheism is the only way,0
238,photo ID requirements disproportionately affect minority and elderly voters This house believes that democratic governments should require voters to present photo identification at the polling station,0
239,"Affirmative action helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture This house believes in the use of affirmative action",1
240,Corruption undermines the legitimacy of government and democratic values This house believes that bribery is sometimes acceptable,0
241,Politicians are often accused of misusing their allocations for selfish purposes This house would abolish congressional earmarks,1
242,social disruption could have a significantly negative impact on investment and growth in the longer term This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,1
243,Frequent and regular aerobic exercise has been shown to help prevent or treat serious and life-threatening chronic conditions This house would make physical education compulsory,1
244,There are a number of problems associated with overpopulation This house supports the one-child policy of the republic of China,1
245,The use of condoms is encouraged to prevent transmission of HIV This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
246,an armed citizenry is the population's last line of defense against tyranny by their own government This house would limit the right to bear arms,0
247,free markets have the potential to free states from the looming prospect of recurrent warfare This house would unleash the free market,1
248,Reasonable restrictions upon free speech serve public order This house believes that it is sometimes right for the government to restrict freedom of speech,1
249,CCT Programs have been proved to be very well-targeted and effective This house would subsidize poor communities,1
250,all people should be treated similarly This house believes in the use of affirmative action,0
251,moral right to life of human beings (human organisms) begins at or near conception-fertilization This house would ban partial birth abortions,1
252,guns are dangerous for society This house would limit the right to bear arms,1
253,multiculturalism tries to restore a sense of wholeness in a postmodern era that fragments human life and thought This house would embrace multiculturalism,1
254,Israelis have been killed by the unlawful rocket and mortar attacks from Gaza This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
255,Everyone has the right to freedom of opinion and expression This house believes that the leaking of military documents by Anat Kamm was justified,1
256,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act is opposed to God's plan for life This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
257,Affirmative action hinders reconciliation This house believes in the use of affirmative action,0
258,Hydropower is an extremely flexible technology This house would build hydroelectric dams,1
259,a well-armed citizenry prevents crime This house would limit the right to bear arms,0
260,"Laissez-faire capitalist economics can operate well on their own, without state intervention This house would unleash the free market",1
261,The environment and all its inhabitants rely on biodiversity This house believes that endangered species should be protected,1
262,government at times has to intervene to ensure competition in large and important industries This house would unleash the free market,0
263,"the importance of the ""wait to have sex"" message ends up being lost when programs demonstrate and encourage the use of contraception This house would only teach abstinence for sex education in schools",1
264,atheism is not a recipe for despair but just the opposite This house believes atheism is the only way,1
265,Speech can be justifiably suppressed in order to prevent harm from a clear and direct threat This house believes that it is sometimes right for the government to restrict freedom of speech,1
266,Israel disproportionately attacked civilians This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
267,"a centrally planned economy can provide public goods which would not have been available at all, or might require explicit government provision, in a market economy This house would unleash the free market",0
268,Corruption generates economic distortions This house believes that bribery is sometimes acceptable,0
269,Israel's attacks represent a severe and massive violation of the International Humanitarian Law This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
270,free trade is a form of colonialism or imperialism This house would unleash the free market,0
271,"Having a large amount of eyes reviewing code can ""lull a user into a false sense of security This house believes governments should choose open source software in order to encourage its use",0
272,children with many siblings receive fewer resources This house supports the one-child policy of the republic of China,1
273,The one-child limit is too extreme. It violates nature’s law This house supports the one-child policy of the republic of China,0
274,"the diversity of cultural expressions is a ""rich asset for individuals and societies This house would embrace multiculturalism",1
275,God created sexual intercourse to be both unitive and procreative This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
276,Truth and reconciliation commissions can provide proof against historical revisionism of state terrorism and other crimes and human rights abuses This house supports the use of truth and reconciliation commissions,1
277,States must take measures to seek to eliminate prejudices This house believes in the use of affirmative action,1
278,single family houses are likely to require much more energy to heat in cold weather than do buildings with shared walls This house would build high rises for housing,1
279,"there was a ""first cause"", or ""prime mover"" who is identified as God This house believes atheism is the only way",0
280,"the blockade of the Gaza Strip [among other security and deterrence measures], have brought about a quiet This house believes that Israel should lift the blockade of Gaza",0
281,School vouchers would erode educational standards and reduce funding This house would fund education using a voucher scheme,0
282,Royals are simply celebrities who should not have any formal role This house would abolish the monarchy,1
283,"the war was targeted against the ""people of Gaza as a whole This house believes that Israel's 2008-2009 military operations against Gaza were justified",0
284,The principal advantage of hereditary monarchy is the immediate continuity of leadership This house would abolish the monarchy,0
285,Biological theories of aggression and violence have specifically excluded video game and other media effects This house believes that the sale of violent video games to minors should be banned,0
286,"once the renewable infrastructure is built, the fuel is free forever This house would build hydroelectric dams",1
287,proprietary software is unethical and unjust This house believes governments should choose open source software in order to encourage its use,1
288,"human beings, while social animals, need significant amounts of social space or they become agitated and aggressive This house would build high rises for housing",0
289,"all human experience and action (even the condition of unbelief, itself) is a proof for the existence of God This house believes atheism is the only way",0
290,Collective bargaining is regarded as a human right This house would abolish all collective bargaining rights claimed by trades unions,0
291,censorship violates multiple Basic Human Rights This house believes that it is sometimes right for the government to restrict freedom of speech,0
292,there is no place for the offence of blasphemous libel in a society which respects freedom of speech This house would criminalize blasphemy,0
293,Nuclear proliferation will decrease the likelihood of war This house believes all nations have a right to nuclear weapons,1
294,democracies have less internal systematic violence This house would promote democratization,1
295,The selection process should not be based on some arbitrary or irrelevant criterion This house believes in the use of affirmative action,0
296,Israel's right to self-defence is recognized This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
297,the widely available code for open-source software makes it easier to identify security vulnerabilities This house believes governments should choose open source software in order to encourage its use,1
298,victims and communities affected by past crimes have the right to know the identity of suspected perpetrators This house supports the use of truth and reconciliation commissions,1
299,Adolescents want both to talk to their parents about sex and to have comprehensive in-school sex education This house would only teach abstinence for sex education in schools,0
300,nuclear forces continue to play an essential role in war prevention This house believes all nations have a right to nuclear weapons,1
301,In all societies there is a need to show sensitivity and responsibility in treating issues of special significance for the adherents of any particular faith This house would criminalize blasphemy,1
302,American-led sanctions have had adverse effects on the civilian population This house would re-engage with Myanmar,1
303,There are tangible benefits to violence in games This house believes that the sale of violent video games to minors should be banned,0
304,market economies are inherently stable if left to themselves This house would unleash the free market,1
305,Allowing individuals to act without any restrictions will produce the best results This house would unleash the free market,1
